# alias	plan-directory	alpha-file
00	plans/00_CORE_-_Engineering_Capacitor_and_Rigging	plan-0.5-ALPHA.txt
01	plans/01_CORE_-_Navigation	plan-0.5-ALPHA.txt
02	plans/02_CORE_-_Targeting	plan-0.5-ALPHA.txt
03	plans/03_CORE_-_PvP_Heat	plan-2-ALPHA.txt
10	plans/10_COMBAT_-_Damage_Mods_and_Weapon_Fitting	plan-2-ALPHA.txt
21	plans/21_TANK_-_Armor_Buffer	plan-1.5-ALPHA.txt
22	plans/22_TANK_-_Armor_Active	plan-0.5-ALPHA.txt
30	plans/30_TANK_-_Shield_Passive-Buffer	plan-2-ALPHA.txt
31	plans/31_TANK_-_Shield_Active	plan-3-ALPHA.txt
50	plans/50_WEAPON_-_Turret_Support	plan-3-ALPHA.txt
51	plans/51_WEAPON_-_Hybrid	plan-1.5-ALPHA.txt
52	plans/52_WEAPON_-_Projectile	plan-1.5-ALPHA.txt
53	plans/53_WEAPON_-_Energy	plan-1.5-ALPHA.txt
60	plans/60_WEAPON_-_Missile_Support	plan-0.5-ALPHA.txt
61	plans/61_MISSILE_-_Rockets_and_Light	plan-2-ALPHA.txt
62	plans/62_MISSILE_-_HAM_and_Heavy	plan-2-ALPHA.txt
63	plans/63_MISSILE_-_Torpedo_and_Cruise	plan-1-ALPHA.txt
70	plans/70_WEAPON_-_Drone_Support	plan-1.5-ALPHA.txt
71	plans/71_DRONES_-_Light_T2	plan-2-ALPHA.txt
72	plans/72_DRONES_-_Medium_T2	plan-1.5-ALPHA.txt
73	plans/73_DRONES_-_Heavy_and_Sentry	plan-0.5-ALPHA.txt
80	plans/80_SCOUT_-_Signature_Combat_and_Covert	plan-1.5-ALPHA.txt
83	plans/83_CYNO_-_Industrial_Hard_and_Covert	plan-0.5-ALPHA.txt
90_AMARR	plans/90_HULL_-_Frigate_-_Amarr	plan-2-ALPHA.txt
90_CALDARI	plans/90_HULL_-_Frigate_-_Caldari	plan-2-ALPHA.txt
90_GALLENTE	plans/90_HULL_-_Frigate_-_Gallente	plan-2-ALPHA.txt
90_MINMATAR	plans/90_HULL_-_Frigate_-_Minmatar	plan-2-ALPHA.txt
91_AMARR	plans/91_HULL_-_Destroyer_-_Amarr	plan-2-ALPHA.txt
91_CALDARI	plans/91_HULL_-_Destroyer_-_Caldari	plan-2-ALPHA.txt
91_GALLENTE	plans/91_HULL_-_Destroyer_-_Gallente	plan-2-ALPHA.txt
91_MINMATAR	plans/91_HULL_-_Destroyer_-_Minmatar	plan-2-ALPHA.txt
92_AMARR	plans/92_HULL_-_Cruiser_-_Amarr	plan-2-ALPHA.txt
92_CALDARI	plans/92_HULL_-_Cruiser_-_Caldari	plan-2-ALPHA.txt
92_GALLENTE	plans/92_HULL_-_Cruiser_-_Gallente	plan-2-ALPHA.txt
92_MINMATAR	plans/92_HULL_-_Cruiser_-_Minmatar	plan-2-ALPHA.txt
93_AMARR	plans/93_HULL_-_Battlecruiser_-_Amarr	plan-2-ALPHA.txt
93_CALDARI	plans/93_HULL_-_Battlecruiser_-_Caldari	plan-2-ALPHA.txt
93_GALLENTE	plans/93_HULL_-_Battlecruiser_-_Gallente	plan-2-ALPHA.txt
93_MINMATAR	plans/93_HULL_-_Battlecruiser_-_Minmatar	plan-2-ALPHA.txt
94_AMARR	plans/94_HULL_-_Battleship_-_Amarr	plan-2-ALPHA.txt
94_CALDARI	plans/94_HULL_-_Battleship_-_Caldari	plan-2-ALPHA.txt
94_GALLENTE	plans/94_HULL_-_Battleship_-_Gallente	plan-2-ALPHA.txt
94_MINMATAR	plans/94_HULL_-_Battleship_-_Minmatar	plan-2-ALPHA.txt
95_FREIGHTER_AMARR	plans/95_HULL_-_Freighter_-_Amarr	plan-0.5-ALPHA.txt
95_FREIGHTER_CALDARI	plans/95_HULL_-_Freighter_-_Caldari	plan-0.5-ALPHA.txt
95_FREIGHTER_GALLENTE	plans/95_HULL_-_Freighter_-_Gallente	plan-0.5-ALPHA.txt
95_FREIGHTER_MINMATAR	plans/95_HULL_-_Freighter_-_Minmatar	plan-0.5-ALPHA.txt
95_HAULER_AMARR	plans/95_HULL_-_Hauler_-_Amarr	plan-1-ALPHA.txt
95_HAULER_CALDARI	plans/95_HULL_-_Hauler_-_Caldari	plan-1-ALPHA.txt
95_HAULER_GALLENTE	plans/95_HULL_-_Hauler_-_Gallente	plan-1-ALPHA.txt
95_HAULER_MINMATAR	plans/95_HULL_-_Hauler_-_Minmatar	plan-1-ALPHA.txt
95_JUMP_FREIGHTER	plans/95_HULL_-_Jump_Freighter	plan-0.5-ALPHA.txt
95_TRANSPORT_SHIPS	plans/95_HULL_-_Transport_Ships	plan-0.5-ALPHA.txt
96_CAPITAL_INDUSTRIAL	plans/96_HULL_-_Capital_Industrial	plan-0.5-ALPHA.txt
96_EXHUMERS	plans/96_HULL_-_Exhumers	plan-0.5-ALPHA.txt
96_EXPEDITION_FRIGATES	plans/96_HULL_-_Expedition_Frigates	plan-0.5-ALPHA.txt
96_INDUSTRIAL_COMMAND_SHIPS	plans/96_HULL_-_Industrial_Command_Ships	plan-0.5-ALPHA.txt
96_MINING_BARGE	plans/96_HULL_-_Mining_Barge	plan-0.5-ALPHA.txt
96_MINING_DESTROYER	plans/96_HULL_-_Mining_Destroyer	plan-1-ALPHA.txt
96_MINING_FRIGATE	plans/96_HULL_-_Mining_Frigate	plan-2-ALPHA.txt
96_ORE_FREIGHTER	plans/96_HULL_-_ORE_Freighter	plan-0.5-ALPHA.txt
96_ORE_HAULER	plans/96_HULL_-_ORE_Hauler	plan-0.5-ALPHA.txt
97_ASSAULT_FRIGATES	plans/97_HULL_-_Assault_Frigates	plan-0.5-ALPHA.txt
97_BLACK_OPS	plans/97_HULL_-_Black_Ops	plan-0.5-ALPHA.txt
97_COMMAND_DESTROYERS	plans/97_HULL_-_Command_Destroyers	plan-0.5-ALPHA.txt
